protein	CRKL
complex	p85 bound to Tie2 (complex)
complex	RET9/GFRalpha1/GDNF/IRS1 (complex)
complex	GH/GH R (complex)
protein	FDXR
complex	PI3K (complex)
abstract	endothelial cell morphogenesis (abstract)
complex	Syndecan-2/Laminin alpha3 (complex)
protein	DLG1
complex	EGFR/EGFR/EGF/EGF (complex)
protein	FOXO4-2
protein	MFGE8
complex	IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/SHC/GRB2/SOS1/GAB2/SHP2/PI3K (complex)
protein	PIK3CA
protein	PIK3CB
protein	OGG1
abstract	MAPKKK cascade (abstract)
complex	FGFR/FGF/Syndecan-2/FRS2/Sprouty2 (complex)
family	PI3K-catalytic subunit (family)
complex	SIRT1/FOXO3a (complex)
family	UDP-glucuronosyltransferase (O-glucuronide forming isozymes) (family)
complex	RAS family/GTP (complex)
protein	IFNG
protein	SP1
abstract	receptor internalization (abstract)
protein	PIK3C2B
complex	PI3K alpha (complex)
protein	SMARCD3
abstract	Tumor Cell Invasion (abstract)
complex	CD28/CD86 (complex)
complex	FKHRL1/14-3-3 (complex)
protein	CCND1
protein	GRB10
complex	IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/IRS1-2/PI3K (complex)
complex	Syndecan-3/Src/Cortactin (complex)
complex	IL2/IL2R beta/gamma/JAK1/LCK/JAK3/PI3K (complex)
family	cPKC (family)
complex	Syndecan-2/RasGAP/Src (complex)
complex	RET9/GFRalpha1/GDNF/SHC/GAB1/Grb2 (complex)
abstract	angiogenesis (abstract)
protein	gamma-glutyamylcysteine synthase
protein	UGCG
abstract	lymphangiogenesis (abstract)
protein	CDKN1B
protein	CDKN1A
protein	ITGA3
protein	ITGA6
complex	HRAS/SPRED2 (complex)
complex	Activated Rac1:PI3K alpha (complex)
complex	SHC/GRB2/SOS1/GAB1 (complex)
protein	IL6
complex	fMLP/FPR1/G-beta/G-gamma/G16-alpha (complex)
abstract	cell growth (abstract)
protein	E-cadherin
complex	FOXO3a/14-3-3 family (complex)
complex	ELK1/SRF(dimer) (complex)
protein	JAK2
protein	JAK3
complex	RELA/p50 (complex)
protein	KSR1
complex	Endoglin (dimer)/beta Arrestin2 (complex)
complex	Syndecan-3/IL8 (complex)
complex	Tie2/Ang1/Shc (complex)
complex	N-cadherin/Ca2+/beta catenin-gamma catenin/alpha catenin/p120 catenin (complex)
complex	Gelsolin/PI-3-4-5-P3 (complex)
protein	CHUK
protein	TP53I3
complex	PI3K/GAB1 (complex)
family	PI3K Class IA family (family)
abstract	cell proliferation (abstract)
complex	MYC/Max/Cbp/p300 (complex)
complex	IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/SHC/GRB2/SOS1/GAB2/ERK1-2 (complex)
protein	GSTO2
protein	RPS6KA1
protein	GSTO1
protein	RPS6KA5
protein	IGFBP3
complex	FGFR1b homodimer bound to FGF (complex)
protein	CBL
protein	GPX3
protein	GPX2
protein	FLOT2
protein	GADD45A
complex	BRAF/14-3-3 (complex)
protein	CD19
protein	KLHL21
protein	KLHL20
complex	Syndecan-3/Fyn/Cortactin (complex)
protein	SLC2A14
protein	SMAD1
complex	B-cell antigen/BCR complex/LYN/SYK (complex)
protein	PELP1
complex	Chromosomal passenger complex/Cul3 protein complex (complex)
protein	CLCA2
complex	NGF/TRkA (complex)
protein	AKR7A2
complex	ERK1-2/ELK1 (complex)
abstract	platelet aggregation (abstract)
complex	ErbB4 activators/ErbB4/ErbB4 (complex)
complex	GMCSF/GMR alpha/CSF2RB/JAK2 (dimer)/YWHAZ/SHC (complex)
family	IRS1-2 (family)
complex	E2/ER alpha (dimer)/PELP1/Src (complex)
complex	NGF/NGF R/NGF/NGF R (complex)
protein	MARCKS
family	p85-containing Class 1A PI3Ks (family)
complex	Tie2/Ang1 (complex)
complex	Syndecan-2/TGFB1 (complex)
complex	IL2/IL2R alpha/beta/gamma/JAK1/LCK/JAK3/SHC/GRB2/SOS1/GAB2/SHP2 (complex)
protein	S100A2
complex	LAT/GRAP2/SLP76/VAV1/ITK/PLCgamma1/CBL (complex)
complex	Syndecan-2/RACK1 (complex)
complex	SIRT1/p300 (complex)
protein	DAPP1
complex	NGF (dimer)/p75(NTR) (complex)
protein	IL3RA
protein	SH2B3
complex	Insulin Receptor/Insulin/IRS1 (complex)
complex	beta4 Integrin/Met (complex)
complex	43s Ribosome subunit (complex)
protein	IL2RA
protein	IL2RB
protein	LAT-2
complex	Insulin Receptor/Insulin (complex)
protein	IL2RG
complex	FGFR4 homodimer bound to FGF (complex)
protein	FOXO1
complex	IL4/IL4R/JAK1/IL2R gamma/JAK3/SHP1 (complex)
family	RAF1-BRAF (family)
protein	UGT2B28
family	PKC (family)
complex	p300/CBP/RELA/p50 (complex)
protein	SPHK1
protein	SDC3
complex	B7 family/CD28 (complex)
protein	MSK1-2-active
protein	CAT
family	Cbp/p300 (family)
complex	ARF1/GTP (complex)
protein	SGMS1
protein	EIF2S1
complex	M-CSF/CSF1R (complex)
complex	EGF/EGF R (complex)
complex	EGFR/EGFR/EGF/EGF/p46 SHC (complex)
protein	MUC2
complex	TAp73b (tetramer)/MDM2/TIP60 (complex)
protein	CDCA8
protein	JAG1
complex	Insulin Receptor/Insulin/IRS3 (complex)
complex	ECM/Integrin-alpha/Integrin-betaTalin/Calpain1/actin/p130cas/FAK/CSK/Paxillin/Vinculin/alpha-actinin (complex)
protein	NOS1
abstract	neurite development (abstract)
protein	ITGB4
complex	Syndecan-2/Caveolin-2/Ras (complex)
abstract	neuron projection morphogenesis (abstract)
protein	MST1
abstract	positive regulation of gene-specific transcription (abstract)
abstract	degradation (abstract)
complex	alphav/beta3 Integrin (complex)
complex	RELN/VLDLR/DAB1/PI3K (complex)
complex	Syndecan-2/Fibronectin (complex)
complex	GRB2:GAB1 (complex)
family	FGFR-FGF2 complex (family)
protein	BTRC
complex	g-gamma/g-beta (complex)
protein	MAP3K14
protein	PIK3C2G
complex	Syndecan-2/Kininogen (complex)
abstract	regulation of cell adhesion (abstract)
protein	GSTA4
protein	GSTA5
complex	TSC1/TSC2 (complex)
protein	GSTA1
protein	GSTA2
protein	NQO1
protein	IKBKB
protein	PTK2B
protein	GAB family-active
protein	DAB1
complex	PERK Homodimer (complex)
complex	SCF/KIT (complex)
protein	GSTA3
complex	PIK3R1/GAB1 (complex)
abstract	regulation of vascular smooth muscle contraction (abstract)
complex	GAB2/PI3K/SHP2 (complex)
complex	RET51/GFRalpha1/GDNF/IRS1 (complex)
abstract	Schwann Cell (abstract)
complex	PI3K/PIKE/GTP (complex)
protein	RELN
family	GGT dimer (family)
protein	RELA
complex	Syndecan-2/alpha2/beta1 Integrin (complex)
complex	PDK1/CARD11/BCL10/MALT1/TRAF6 (complex)
complex	SHC/Grb2/SOS1/GAB1/PI3K (complex)
protein	CDKN2A
complex	Alpha-Synuclein/Torsin A (complex)
complex	GRB2/GAB1 (complex)
complex	Gamma Secretase (complex)
protein	SNAI2
protein	KITLG
complex	Syndecan-2/CASK/Protein 4.1 (complex)
complex	RAP1A/GTP (complex)
family	Forkhead Transcription Factors (family)
protein	CSF2
protein	ELK1
protein	GNG2
family	TFFs (family)
protein	CCND3
protein	Q5VTR6
complex	nectin-3(dimer)/I-afadin/I-afadin/nectin-3(dimer)/I-afadin/I-afadin (complex)
protein	VLDLR
family	Syndecan Family (family)
complex	RBX1-CUL3-BTB (complex)
complex	Syndecan-2/IL8 (complex)
complex	SHP2/GAB1/GRB2/FRS2/FGFR/FGF/Syndecan-2 (complex)
complex	G-gamma/G-beta/GTP (complex)
protein	FLT4
family	FOXO1-3a-4 (family)
complex	STAT3 (dimer ) (complex)
complex	EGFR/EGFR/EGF/EGF/p52 SHC (complex)
complex	EIF-2-alpha(P)/EIF-2-gamma/EIF-2-beta (complex)
protein	CABIN1
abstract	regulation of S phase of mitotic cell cycle (abstract)
family	PI3K alpha, beta, gamma (family)
protein	PDK2
complex	S1P/S1P2/Gi (complex)
protein	PKC
protein	BTK-ITK-active
abstract	cell motility (abstract)
family	BTK-ITK (family)
family	p21 RAS (family)
protein	PPP1R14A
abstract	DNA damage (abstract)
protein	INCENP
complex	Syndecan-2/Neurofibromin (complex)
complex	IGF-1/IGF-1R (complex)
protein	RUNX2
family	DVL (family)
complex	IFN-gamma/IFN-gammaR/JAK1/JAK1/JAK2/JAK2 (complex)
abstract	mitotic metaphase/anaphase transition (abstract)
complex	Syndecan-2/CASK (complex)
protein	SHH
family	SOD (family)
complex	IL3/IL3RA/CSF2RB (dodecamer)/YWHAZ/SHC (complex)
complex	BAD/BCL-XL (complex)
abstract	negative regulation of apoptosis (abstract)
abstract	immune response (abstract)
abstract	protein targeting to lysosome (abstract)
complex	HGF(dimer)/MET(dimer)/GRB2/GAB1/SHP2 (complex)
complex	JUN/FOS (complex)
protein	PDPK1
protein	S1PR1
protein	BTK
complex	Ran/GTP (complex)
complex	TAp63g (tetramer)/p14ARF (complex)
protein	ELK1-2
abstract	natural killer cell mediated cytotoxicity (abstract)
protein	UGT2A1
complex	Cytosolic GST homodimer (complex)
protein	SMPD1
complex	E-cadherin/Ca2+/beta catenin-gamma catenin/alpha catenin/p120 catenin (complex)
abstract	re-entry into mitotic cell cycle (abstract)
family	Heme oxygenase (family)
complex	NGF (dimer)/TRKA/MATK (complex)
complex	RHOA/GTP (complex)
protein	ZBTB16
complex	IL5/IL5RA/CSF2RB (hexamer)/JAK2/JAK2 (complex)
complex	PI3K bound to TRAT (complex)
protein	RPS6KB1
family	SPRY (family)
complex	Activated TrkA receptor:Phospho-IRS1/2:PI3K(p85:p110) (complex)
protein	UGT2B17
